,mean_peripheral_branch_volume_mm3,peripheral_branch_density,mean_peripheral_diameter_mm,central_to_peripheral_diameter_ratio,mean_lung_density_HU,histogram_entropy
balanced,-0.2548500275909691,0.15521238894442568,-0.2609977344846572,0.44284385193342835,0.3318098644995544,0.3095616258239594
strict,-0.2548500275909691,0.15521238894442568,-0.2609977344846572,0.44284385193342835,0.3318098644995544,0.3095616258239594
decline_only,-0.2548500275909691,0.15521238894442568,-0.2609977344846572,0.44284385193342835,0.3318098644995544,0.3095616258239594
traditional_only,-0.22344340241090901,0.13275919129992383,-0.2111777327006002,0.5152763342515072,0.1430687377744449,0.15646530389807836
both_targets,-0.22344340241090901,0.13275919129992383,-0.2111777327006002,0.5152763342515072,0.1430687377744449,0.15646530389807836
