,Mean Correlation,Std Dev (Stability),Coefficient of Variation
central_to_peripheral_diameter_ratio,0.47181684486065995,0.03967290446170588,0.08408539223185713
mean_lung_density_HU,0.25631341380951056,0.10337777263628364,0.4033256437882448
histogram_entropy,0.248323097053607,0.08385430898987781,0.33768227758441527
mean_peripheral_branch_volume_mm3,-0.24228737751894505,0.01720211706622865,0.07099881653918837
mean_peripheral_diameter_mm,-0.24106973377103436,0.027287538792075634,0.1131935492905678
peripheral_branch_density,0.14623110988662497,0.012298122838015525,0.08410059150580497
